MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,TP_PPM,DEPTH,R,TYPE
98,NARROWS P (UPPER),1,2002-09-06,CW,0.013,15,1,G
98,NARROWS P (UPPER),1,2002-09-06,CW,0.04,18,1,G
98,NARROWS P (UPPER),1,2002-10-04,CW,0.007,1,1,G
98,NARROWS P (UPPER),1,2002-10-04,CW,0.007,7,1,G
98,NARROWS P (UPPER),1,2002-10-04,CW,0.008,5,1,G
98,NARROWS P (UPPER),1,2002-10-04,CW,0.008,7,1,C
98,NARROWS P (UPPER),1,2002-10-04,CW,0.01,11,1,G
98,NARROWS P (UPPER),1,2002-10-04,CW,0.011,3,1,G
98,NARROWS P (UPPER),1,2002-10-04,CW,0.012,9,1,G
98,NARROWS P (UPPER),1,2002-10-04,CW,0.014,9,2,G
98,NARROWS P (UPPER),1,2002-10-04,CW,0.019,15,1,G
98,NARROWS P (UPPER),1,2002-10-04,CW,0.022,18,1,G
98,NARROWS P (UPPER),1,2002-10-21,CW,0.008,1,1,G
98,NARROWS P (UPPER),1,2002-10-21,CW,0.008,5,1,G
98,NARROWS P (UPPER),1,2002-10-21,CW,0.008,5,2,G
98,NARROWS P (UPPER),1,2002-10-21,CW,0.008,7,1,G
98,NARROWS P (UPPER),1,2002-10-21,CW,0.009,3,1,G
98,NARROWS P (UPPER),1,2002-10-21,CW,0.009,9,1,G
98,NARROWS P (UPPER),1,2002-10-21,CW,0.009,10,1,C
98,NARROWS P (UPPER),1,2002-10-21,CW,0.017,11,1,G
98,NARROWS P (UPPER),1,2002-10-21,CW,0.018,15,1,G
98,NARROWS P (UPPER),1,2002-10-21,CW,0.061,18,1,G
98,NARROWS P (UPPER),1,2002-11-12,CW,0.01,7,2,G
98,NARROWS P (UPPER),1,2002-11-12,CW,0.011,5,1,G
98,NARROWS P (UPPER),1,2002-11-12,CW,0.011,7,1,G
98,NARROWS P (UPPER),1,2002-11-12,CW,0.011,9,1,G
98,NARROWS P (UPPER),1,2002-11-12,CW,0.011,10,1,C
98,NARROWS P (UPPER),1,2002-11-12,CW,0.011,17,1,G
98,NARROWS P (UPPER),1,2002-11-12,CW,0.012,3,1,G
98,NARROWS P (UPPER),1,2002-11-12,CW,0.012,11,1,G
98,NARROWS P (UPPER),1,2002-11-12,CW,0.012,15,1,G
98,NARROWS P (UPPER),1,2002-11-12,CW,0.017,1,1,G
98,NARROWS P (UPPER),1,2003-06-23,CW,0.009,1,1,G
98,NARROWS P (UPPER),1,2003-06-23,CW,0.009,3,1,G
98,NARROWS P (UPPER),1,2003-06-23,CW,0.011,7,1,G
98,NARROWS P (UPPER),1,2003-06-23,CW,0.011,9,1,G
98,NARROWS P (UPPER),1,2003-06-23,CW,0.015,11,1,G
98,NARROWS P (UPPER),1,2003-06-23,CW,0.015,15,1,G
98,NARROWS P (UPPER),1,2003-06-23,CW,0.017,5,1,G
98,NARROWS P (UPPER),1,2003-06-23,CW,0.021,18,1,G
98,NARROWS P (UPPER),1,2003-07-28,CW,0.011,3,1,G
98,NARROWS P (UPPER),1,2003-07-28,CW,0.012,9,1,G
98,NARROWS P (UPPER),1,2003-07-28,CW,0.012,11,1,G
98,NARROWS P (UPPER),1,2003-07-28,CW,0.014,15,1,G
98,NARROWS P (UPPER),1,2003-07-28,CW,0.016,5,1,G
98,NARROWS P (UPPER),1,2003-07-28,CW,0.017,1,1,G
