date,0-6m,6-12m
5/25/2021,81.853,27.413
6/10/2021,77.305511,27.86066609
6/21/2021,81.852894,39.9550215
7/7/2021,81.852894,30.165878
7/22/2021,72.758128,47.567332
8/4/2021,86.98740563,63.79136
8/18/2021,80.9515475,95.6583306
9/1/2021,90.429,115.4724291
9/17/2021,101.6080183,132.172894
10/4/2021,115.4179028,133.0484222
10/18/2021,118.232,109.221139
