MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,DEPTH,TP_PPM,TYPE,R,UNIT,QUAL
3832,WILSON P,1,6/21/2021,CW,6,0.009,C,1,,
3832,WILSON P,1,6/21/2021,CW,8,0.016,G,1,,
3832,WILSON P,1,6/21/2021,CW,12,0.017,G,1,,
3832,WILSON P,1,7/7/2021,CW,6,0.009,C,1,,
3832,WILSON P,1,7/7/2021,CW,7,0.008,G,1,,
3832,WILSON P,1,7/7/2021,CW,9,0.009,G,1,,
3832,WILSON P,1,7/7/2021,CW,11.9,0.027,G,1,,
3832,WILSON P,1,7/22/2021,CW,11.9,0.064,G,1,,
3832,WILSON P,1,7/22/2021,CW,9,0.014,G,1,,
3832,WILSON P,1,7/22/2021,CW,6,0.008,C,1,,
3832,WILSON P,1,7/22/2021,CW,7,0.009,G,1,,
3832,WILSON P,1,8/4/2021,CW,1,0.009,G,1,,
3832,WILSON P,1,8/4/2021,CW,3,0.009,G,1,,
3832,WILSON P,1,8/4/2021,CW,3,0.008,G,2,,
3832,WILSON P,1,8/4/2021,CW,5,0.012,G,1,,
3832,WILSON P,1,8/4/2021,CW,7,0.011,G,1,,
3832,WILSON P,1,8/4/2021,CW,9,0.015,G,1,,
3832,WILSON P,1,8/4/2021,CW,11.9,0.1,G,1,,
3832,WILSON P,1,8/18/2021,CW,11.8,0.14,G,1,,
3832,WILSON P,1,8/18/2021,CW,3,0.01,G,1,,
3832,WILSON P,1,8/18/2021,CW,9,0.021,G,1,,
3832,WILSON P,1,8/18/2021,CW,5,0.01,G,1,,
3832,WILSON P,1,8/18/2021,CW,1,0.007,G,1,,
3832,WILSON P,1,8/18/2021,CW,7,0.016,G,1,,
3832,WILSON P,1,8/18/2021,CW,9,0.021,G,1,,
3832,WILSON P,1,9/1/2021,CW,1,0.008,G,1,,
3832,WILSON P,1,9/1/2021,CW,3,0.009,G,1,,
3832,WILSON P,1,9/1/2021,CW,5,0.015,G,1,,
3832,WILSON P,1,9/1/2021,CW,7,0.01,G,1,,
3832,WILSON P,1,9/1/2021,CW,9,0.021,G,1,,
3832,WILSON P,1,9/1/2021,CW,11.8,0.21,G,1,,
3832,WILSON P,1,9/17/2021,CW,7,0.01,G,1,,
3832,WILSON P,1,9/17/2021,CW,11.8,0.27,G,1,,
3832,WILSON P,1,9/17/2021,CW,9,0.026,G,1,,
3832,WILSON P,1,9/17/2021,CW,5,0.01,G,1,,
3832,WILSON P,1,9/17/2021,CW,3,0.011,G,1,,
3832,WILSON P,1,9/17/2021,CW,1,0.012,G,1,,
3832,WILSON P,1,9/17/2021,CW,10.5,0.16,G,1,,
3832,WILSON P,1,10/4/2021,CW,,,,,,
3832,WILSON P,1,10/18/2021,CW,9,0.013,C,1,,
3832,WILSON P,1,10/18/2021,CW,9,0.013,C,2,,
3832,WILSON P,1,10/18/2021,CW,10,0.026,G,1,,
3832,WILSON P,1,10/18/2021,CW,11.9,0.37,G,1,,
5240,WOODBURY P,1,6/18/2021,CW,,,,,,
5240,WOODBURY P,1,7/30/2021,CW,,,,,,
5240,WOODBURY P,1,8/24/2021,CW,,,,,,
5240,WOODBURY P,1,10/7/2021,CW,,,,,,
