MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,DEPTH,TP_PPM,TYPE,R,UNIT,QUAL
5242,BUKER P,1,8/24/2021,CW,,,,,,
5242,BUKER P,1,10/7/2021,CW,,,,,,
5310,CARLTON P,1,6/11/2021,CW,,,,,,
5310,CARLTON P,1,7/8/2021,CW,,,,,,
5310,CARLTON P,1,8/2/2021,CW,,,,,,
5310,CARLTON P,1,9/13/2021,CW,,,,,,
5310,CARLTON P,1,10/14/2021,CW,,,,,,
8065,COBBOSSEECONTEE (LT),1,7/1/2021,CW,4,0.021,C,1,,
8065,COBBOSSEECONTEE (LT),1,7/1/2021,CW,7,0.072,G,1,,
8065,COBBOSSEECONTEE (LT),1,7/1/2021,CW,999.9,99.999,C,1,,
8065,COBBOSSEECONTEE (LT),1,7/1/2021,CW,999.9,99.999,C,1,,
8065,COBBOSSEECONTEE (LT),1,8/13/2021,CW,8.3,0.18,G,1,,
8065,COBBOSSEECONTEE (LT),1,8/13/2021,CW,6,0.063,G,1,,
8065,COBBOSSEECONTEE (LT),1,8/13/2021,CW,4,0.021,C,1,,
8065,COBBOSSEECONTEE (LT),1,9/22/2021,CW,4,0.022,C,1,,
8065,COBBOSSEECONTEE (LT),1,9/22/2021,CW,6,0.045,G,1,,
8065,COBBOSSEECONTEE (LT),1,9/22/2021,CW,8.9,0.24,G,1,,
8065,COBBOSSEECONTEE (LT),1,10/15/2021,CW,4,0.018,C,1,,
8065,COBBOSSEECONTEE (LT),1,10/15/2021,CW,6,0.035,G,1,,
8065,COBBOSSEECONTEE (LT),1,10/15/2021,CW,8.7,0.23,G,1,,
8065,COBBOSSEECONTEE (LT),1,10/15/2021,CW,4,0.018,C,1,,
8065,COBBOSSEECONTEE (LT),1,10/15/2021,CW,6,0.035,G,1,,
8065,COBBOSSEECONTEE (LT),1,10/15/2021,CW,8.7,0.23,G,1,,
5236,COBBOSSEECONTEE L,1,5/24/2021,CW,9,0.013,C,1,,
5236,COBBOSSEECONTEE L,2,5/24/2021,CW,18,0.034,G,1,,
5236,COBBOSSEECONTEE L,1,5/24/2021,CW,15,0.014,G,1,,
5236,COBBOSSEECONTEE L,2,5/24/2021,CW,12,0.012,G,1,,
5236,COBBOSSEECONTEE L,2,5/24/2021,CW,9,0.016,C,1,,
5236,COBBOSSEECONTEE L,1,5/24/2021,CW,28,0.022,G,1,,
5236,COBBOSSEECONTEE L,1,6/28/2021,CW,15,0.011,G,1,,
5236,COBBOSSEECONTEE L,1,6/28/2021,CW,7,0.013,C,1,,
5236,COBBOSSEECONTEE L,1,6/28/2021,CW,28,0.069,G,1,,
5236,COBBOSSEECONTEE L,2,6/28/2021,CW,8,0.01,C,2,,
5236,COBBOSSEECONTEE L,2,6/28/2021,CW,8,0.009,C,1,,
5236,COBBOSSEECONTEE L,2,6/28/2021,CW,12,0.01,G,1,,
5236,COBBOSSEECONTEE L,2,6/28/2021,CW,17.9,0.1,G,1,,
5236,COBBOSSEECONTEE L,1,7/26/2021,CW,27.7,0.055,G,1,,
5236,COBBOSSEECONTEE L,1,7/26/2021,CW,18,0.023,G,1,,
5236,COBBOSSEECONTEE L,1,7/26/2021,CW,8,0.016,C,1,,
5236,COBBOSSEECONTEE L,1,7/26/2021,CW,8,0.011,C,2,,
5236,COBBOSSEECONTEE L,2,7/26/2021,CW,18,0.16,G,1,,
5236,COBBOSSEECONTEE L,2,7/26/2021,CW,15,0.021,G,1,,
5236,COBBOSSEECONTEE L,2,7/26/2021,CW,11,0.009,G,1,,
5236,COBBOSSEECONTEE L,2,7/26/2021,CW,8,0.016,C,1,,
5236,COBBOSSEECONTEE L,1,7/26/2021,CW,12,0.01,G,1,,
5236,COBBOSSEECONTEE L,2,8/17/2021,CW,15,0.036,g,1,,
5236,COBBOSSEECONTEE L,1,8/17/2021,CW,7,0.012,C,1,,
5236,COBBOSSEECONTEE L,1,8/17/2021,CW,2,0.009,G,1,,
5236,COBBOSSEECONTEE L,1,8/17/2021,CW,10,0.011,G,1,,
5236,COBBOSSEECONTEE L,1,8/17/2021,CW,20,0.025,G,1,,
5236,COBBOSSEECONTEE L,1,8/17/2021,CW,28,0.043,G,1,,
5236,COBBOSSEECONTEE L,2,8/17/2021,CW,18,0.14,g,1,,
5236,COBBOSSEECONTEE L,1,8/17/2021,CW,8,0.011,G,1,,
5236,COBBOSSEECONTEE L,2,8/17/2021,CW,12,0.009,g,1,,
5236,COBBOSSEECONTEE L,2,8/17/2021,CW,9,0.011,g,1,,
5236,COBBOSSEECONTEE L,2,8/17/2021,CW,2,0.008,g,1,,
5236,COBBOSSEECONTEE L,2,8/17/2021,CW,7,0.009,C,2,,
5236,COBBOSSEECONTEE L,2,8/17/2021,CW,7,0.01,C,1,,
5236,COBBOSSEECONTEE L,2,8/17/2021,CW,999.9,99.999,C,1,,
5236,COBBOSSEECONTEE L,1,8/17/2021,CW,15,0.01,G,1,,
5236,COBBOSSEECONTEE L,2,9/21/2021,CW,7,0.011,G,1,,
5236,COBBOSSEECONTEE L,1,9/21/2021,CW,999.9,99.999,C,1,,
5236,COBBOSSEECONTEE L,1,9/21/2021,CW,28,0.06,G,1,,
5236,COBBOSSEECONTEE L,1,9/21/2021,CW,20,0.029,G,1,,
5236,COBBOSSEECONTEE L,1,9/21/2021,CW,15,0.045,G,1,,
5236,COBBOSSEECONTEE L,2,9/21/2021,CW,17.9,0.29,G,1,,
5236,COBBOSSEECONTEE L,2,9/21/2021,CW,10,0.01,G,1,,
5236,COBBOSSEECONTEE L,2,9/21/2021,CW,4,0.012,G,1,,
5236,COBBOSSEECONTEE L,2,9/21/2021,CW,1,0.014,G,1,,
5236,COBBOSSEECONTEE L,1,9/21/2021,CW,10,0.023,G,1,,
5236,COBBOSSEECONTEE L,1,9/21/2021,CW,7,0.012,G,1,,
5236,COBBOSSEECONTEE L,1,9/21/2021,CW,4,0.012,G,2,,
5236,COBBOSSEECONTEE L,1,9/21/2021,CW,4,0.013,G,1,,
5236,COBBOSSEECONTEE L,1,9/21/2021,CW,1,0.015,G,1,,
5236,COBBOSSEECONTEE L,2,9/21/2021,CW,14,0.074,G,1,,
5236,COBBOSSEECONTEE L,1,10/8/2021,CW,,,,,,
5236,COBBOSSEECONTEE L,2,10/13/2021,CW,17.5,0.32,G,1,,
5236,COBBOSSEECONTEE L,1,10/13/2021,CW,9,0.012,C,1,,
5236,COBBOSSEECONTEE L,1,10/13/2021,CW,12,0.013,G,1,,
5236,COBBOSSEECONTEE L,1,10/13/2021,CW,16,0.097,G,1,,
5236,COBBOSSEECONTEE L,1,10/13/2021,CW,9,0.012,C,1,,
5236,COBBOSSEECONTEE L,1,10/13/2021,CW,28,0.13,G,1,,
5236,COBBOSSEECONTEE L,2,10/13/2021,CW,14,0.079,G,1,,
5236,COBBOSSEECONTEE L,2,10/13/2021,CW,11,0.008,G,1,,
5236,COBBOSSEECONTEE L,2,10/13/2021,CW,9,0.009,C,1,,
5236,COBBOSSEECONTEE L,1,10/13/2021,CW,28,0.13,G,1,,
5236,COBBOSSEECONTEE L,1,10/13/2021,CW,22,0.059,G,1,,
5236,COBBOSSEECONTEE L,1,10/13/2021,CW,16,0.097,G,1,,
5236,COBBOSSEECONTEE L,1,10/13/2021,CW,12,0.013,G,1,,
5236,COBBOSSEECONTEE L,1,10/13/2021,CW,9,0.01,C,2,,
5236,COBBOSSEECONTEE L,1,10/13/2021,CW,22,0.059,G,1,,
5236,COBBOSSEECONTEE L,1,10/13/2021,CW,9,0.01,C,2,,
3814,COCHNEWAGON P,1,5/20/2021,CW,7,0.01,C,1,,
3814,COCHNEWAGON P,1,5/20/2021,CW,7.8,0.014,G,1,,
3814,COCHNEWAGON P,1,6/2/2021,CW,7,0.01,C,1,,
3814,COCHNEWAGON P,1,6/2/2021,CW,7.7,0.011,G,1,,
3814,COCHNEWAGON P,1,6/16/2021,CW,7,0.013,C,1,,
3814,COCHNEWAGON P,1,6/16/2021,CW,7.7,0.014,G,1,,
3814,COCHNEWAGON P,1,6/30/2021,CW,6.5,0.011,C,1,,
3814,COCHNEWAGON P,1,6/30/2021,CW,7.6,0.016,G,1,,
3814,COCHNEWAGON P,1,7/22/2021,CW,6,0.009,G,1,,
3814,COCHNEWAGON P,1,7/22/2021,CW,7,0.008,G,1,,
3814,COCHNEWAGON P,1,7/22/2021,CW,7.9,0.013,G,1,,
3814,COCHNEWAGON P,1,7/22/2021,CW,6,0.012,C,1,,
3814,COCHNEWAGON P,1,8/4/2021,CW,5,0.012,G,1,,
3814,COCHNEWAGON P,1,8/4/2021,CW,6,0.01,G,1,,
3814,COCHNEWAGON P,1,8/4/2021,CW,7,0.007,G,1,,
3814,COCHNEWAGON P,1,8/4/2021,CW,1,0.016,G,1,,
3814,COCHNEWAGON P,1,8/4/2021,CW,6,0.015,C,1,,
3814,COCHNEWAGON P,1,8/4/2021,CW,3,0.011,G,1,,
3814,COCHNEWAGON P,1,8/4/2021,CW,7.9,0.011,G,1,,
3814,COCHNEWAGON P,1,8/10/2021,CW,,,,,,
3814,COCHNEWAGON P,1,8/18/2021,CW,6,0.01,G,2,,
3814,COCHNEWAGON P,1,8/18/2021,CW,7.9,0.015,G,1,,
3814,COCHNEWAGON P,1,8/18/2021,CW,6,0.01,G,2,,
3814,COCHNEWAGON P,1,8/18/2021,CW,5,0.016,G,1,,
3814,COCHNEWAGON P,1,8/18/2021,CW,3,0.013,G,1,,
3814,COCHNEWAGON P,1,8/18/2021,CW,1,0.008,G,1,,
3814,COCHNEWAGON P,1,8/18/2021,CW,999.9,99.999,C,1,,
3814,COCHNEWAGON P,1,8/18/2021,CW,7,0.013,G,1,,
3814,COCHNEWAGON P,1,8/18/2021,CW,6,0.01,G,1,,
3814,COCHNEWAGON P,1,8/18/2021,CW,5,0.016,G,1,,
3814,COCHNEWAGON P,1,8/18/2021,CW,3,0.013,G,1,,
3814,COCHNEWAGON P,1,8/18/2021,CW,1,0.008,G,1,,
3814,COCHNEWAGON P,1,8/18/2021,CW,999.9,99.999,C,1,,
3814,COCHNEWAGON P,1,8/18/2021,CW,7,0.013,G,1,,
3814,COCHNEWAGON P,1,8/18/2021,CW,7.9,0.015,G,1,,
3814,COCHNEWAGON P,1,8/18/2021,CW,6,0.01,G,1,,
3814,COCHNEWAGON P,1,9/1/2021,CW,6,0.009,G,1,,
3814,COCHNEWAGON P,1,9/1/2021,CW,7,0.016,G,1,,
3814,COCHNEWAGON P,1,9/1/2021,CW,8,0.017,G,1,,
3814,COCHNEWAGON P,1,9/1/2021,CW,3,0.009,G,2,,
3814,COCHNEWAGON P,1,9/1/2021,CW,3,0.008,G,1,,
3814,COCHNEWAGON P,1,9/1/2021,CW,1,0.014,G,1,,
3814,COCHNEWAGON P,1,9/1/2021,CW,5,0.009,G,1,,
3814,COCHNEWAGON P,1,9/15/2021,CW,1,0.008,G,1,,
3814,COCHNEWAGON P,1,9/15/2021,CW,3,0.011,G,1,,
3814,COCHNEWAGON P,1,9/15/2021,CW,5,0.01,G,1,,
3814,COCHNEWAGON P,1,9/15/2021,CW,6,0.009,G,1,,
3814,COCHNEWAGON P,1,9/15/2021,CW,7.7,0.007,G,1,,
3814,COCHNEWAGON P,1,9/15/2021,CW,7,0.008,G,1,,
3814,COCHNEWAGON P,1,10/4/2021,CW,7,0.009,G,1,,
3814,COCHNEWAGON P,1,10/4/2021,CW,5,0.011,G,1,,
3814,COCHNEWAGON P,1,10/4/2021,CW,7.6,0.008,G,1,,
3814,COCHNEWAGON P,1,10/4/2021,CW,6,0.009,G,1,,
3814,COCHNEWAGON P,1,10/4/2021,CW,1,0.009,G,1,,
3814,COCHNEWAGON P,1,10/4/2021,CW,3,0.013,G,1,,
3814,COCHNEWAGON P,1,10/4/2021,CW,3,0.011,G,2,,
3814,COCHNEWAGON P,1,10/21/2021,CW,1,0.01,G,1,,
3814,COCHNEWAGON P,1,10/21/2021,CW,3,0.012,G,1,,
3814,COCHNEWAGON P,1,10/21/2021,CW,6.5,0.01,G,1,,
3814,COCHNEWAGON P,1,10/21/2021,CW,7.6,0.01,G,1,,
3814,COCHNEWAGON P,1,10/21/2021,CW,7,0.014,C,1,,
3814,COCHNEWAGON P,1,10/21/2021,CW,5,0.013,G,1,,
5265,DESERT P,1,8/31/2021,CW,9.2,0.1,G,1,,
5265,DESERT P,1,8/31/2021,CW,4,0.007,C,2,,
5265,DESERT P,1,8/31/2021,CW,4,0.007,C,1,,
3830,DEXTER P,1,5/25/2021,CW,5,0.009,C,1,,
3830,DEXTER P,1,6/10/2021,CW,,,,,,
3830,DEXTER P,1,6/21/2021,CW,4,0.008,C,1,,
3830,DEXTER P,1,7/7/2021,CW,,,,,,
3830,DEXTER P,1,7/22/2021,CW,4,0.006,C,1,,
3830,DEXTER P,1,8/4/2021,CW,4,0.006,C,1,,
3830,DEXTER P,1,8/18/2021,CW,4,0.006,C,1,,
3830,DEXTER P,1,8/18/2021,CW,6.6,0.016,G,1,,
3830,DEXTER P,1,9/1/2021,CW,,,,,,
3830,DEXTER P,1,9/17/2021,CW,5,0.009,C,1,,
3830,DEXTER P,1,9/17/2021,CW,5,0.011,C,2,,
3830,DEXTER P,1,10/18/2021,CW,6,0.008,C,1,,
5252,HORSESHOE P,1,8/26/2021,CW,3,0.02,C,2,,
5252,HORSESHOE P,1,8/26/2021,CW,3,0.019,C,1,,
5252,HORSESHOE P,1,8/26/2021,CW,4.7,0.028,G,1,,
5304,HUTCHINSON P,1,10/22/2021,CW,7,0.007,C,2,,
5304,HUTCHINSON P,1,10/22/2021,CW,7,0.011,C,1,,
5304,HUTCHINSON P,1,10/22/2021,CW,8,0.007,G,1,,
5302,JAMIES (JIMMIE) P,1,7/29/2021,CW,,,,,,
5302,JAMIES (JIMMIE) P,1,9/8/2021,CW,,,,,,
5302,JAMIES (JIMMIE) P,1,10/5/2021,CW,,,,,,
5244,JIMMY P,1,6/18/2021,CW,,,,,,
5244,JIMMY P,1,7/28/2021,CW,,,,,,
5244,JIMMY P,1,8/24/2021,CW,,,,,,
5244,JIMMY P,1,10/7/2021,CW,,,,,,
5316,KEZAR P,1,8/16/2021,CW,,,,,,
5246,LOON P,1,8/16/2021,CW,2,0.014,C,1,,
5246,LOON P,1,8/16/2021,CW,1,0.008,G,1,,
5246,LOON P,1,8/16/2021,CW,3,0.008,G,1,,
5246,LOON P,1,8/16/2021,CW,5.9,0.031,G,1,,
5312,MARANACOOK L,2,5/20/2021,EI,,,,,,
5312,MARANACOOK L,2,5/23/2021,EI,,,,,,
5312,MARANACOOK L,2,6/6/2021,EI,,,,,,
5312,MARANACOOK L,2,6/6/2021,EI,,,,,,
5312,MARANACOOK L,2,6/8/2021,CW,,,,,,
5312,MARANACOOK L,1,6/8/2021,CW,,,,,,
5312,MARANACOOK L,1,6/13/2021,EI,,,,,,
5312,MARANACOOK L,2,6/18/2021,EI,,,,,,
5312,MARANACOOK L,2,6/28/2021,EI,,,,,,
5312,MARANACOOK L,1,7/5/2021,EI,,,,,,
5312,MARANACOOK L,2,7/7/2021,EI,,,,,,
5312,MARANACOOK L,1,7/7/2021,CW,,,,,,
5312,MARANACOOK L,2,7/7/2021,CW,,,,,,
5312,MARANACOOK L,2,7/10/2021,EI,,,,,,
5312,MARANACOOK L,2,7/24/2021,EI,,,,,,
5312,MARANACOOK L,1,7/28/2021,EI,,,,,,
5312,MARANACOOK L,2,8/1/2021,EI,,,,,,
5312,MARANACOOK L,2,8/8/2021,EI,,,,,,
5312,MARANACOOK L,2,8/12/2021,CW,,,,,,
5312,MARANACOOK L,1,8/12/2021,CW,,,,,,
5312,MARANACOOK L,2,8/15/2021,EI,,,,,,
5312,MARANACOOK L,2,8/20/2021,EI,,,,,,
5312,MARANACOOK L,1,8/28/2021,EI,,,,,,
5312,MARANACOOK L,2,9/5/2021,EI,,,,,,
5312,MARANACOOK L,1,9/12/2021,EI,,,,,,
5312,MARANACOOK L,2,9/19/2021,EI,,,,,,
5312,MARANACOOK L,2,9/20/2021,CW,,,,,,
5312,MARANACOOK L,1,9/20/2021,CW,,,,,,
5312,MARANACOOK L,1,10/8/2021,EI,,,,,,
5312,MARANACOOK L,1,10/14/2021,CW,,,,,,
5312,MARANACOOK L,2,10/14/2021,CW,,,,,,
5312,MARANACOOK L,1,10/24/2021,EI,,,,,,
103,NARROWS P (LOWER),1,6/9/2021,CW,,,,,,
103,NARROWS P (LOWER),1,7/8/2021,CW,,,,,,
103,NARROWS P (LOWER),1,8/3/2021,CW,,,,,,
103,NARROWS P (LOWER),1,9/13/2021,CW,,,,,,
103,NARROWS P (LOWER),1,10/12/2021,CW,,,,,,
103,NARROWS P (LOWER),1,12/19/2022,CW,,,,,,
98,NARROWS P (UPPER),1,7/1/2021,CW,6,0.007,C,1,,
98,NARROWS P (UPPER),1,8/13/2021,CW,9,0.008,G,1,,
98,NARROWS P (UPPER),1,8/13/2021,CW,17,0.023,G,1,,
98,NARROWS P (UPPER),1,8/13/2021,CW,6,0.007,C,1,,
98,NARROWS P (UPPER),1,8/13/2021,CW,6,0.009,C,2,,
98,NARROWS P (UPPER),1,9/22/2021,CW,6,0.008,C,1,,
98,NARROWS P (UPPER),1,9/22/2021,CW,9,0.014,G,1,,
98,NARROWS P (UPPER),1,9/22/2021,CW,16.9,0.047,G,1,,
98,NARROWS P (UPPER),1,10/20/2021,CW,17,0.12,G,1,,
98,NARROWS P (UPPER),1,10/20/2021,CW,7,0.011,C,1,,
98,NARROWS P (UPPER),1,10/20/2021,CW,13,0.027,G,1,,
98,NARROWS P (UPPER),1,10/20/2021,CW,9,0.008,G,1,,
5254,PLEASANT (MUD) P,1,5/21/2021,CW,8,0.023,G,1,,
5254,PLEASANT (MUD) P,1,5/21/2021,CW,6,0.017,C,1,,
5254,PLEASANT (MUD) P,3,5/21/2021,CW,3,0.031,C,1,,
5254,PLEASANT (MUD) P,1,6/17/2021,CW,6,0.018,G,1,,
5254,PLEASANT (MUD) P,1,6/17/2021,CW,8.4,0.04,G,1,,
5254,PLEASANT (MUD) P,1,6/17/2021,CW,5,0.019,C,1,,
5254,PLEASANT (MUD) P,3,6/17/2021,CW,3,0.028,C,1,,
