"midas","lake","basin","date","agency","tp_ppm","depth","r","type","year","month","sampleid"
"98","narrows upper",1,2002-08-07,"cw",0.007,5,1,"g",2002,8,"98_1_2002-08-07"
"98","narrows upper",1,2002-08-07,"cw",0.008,6,1,"c",2002,8,"98_1_2002-08-07"
"98","narrows upper",1,2002-08-07,"cw",0.009,3,1,"g",2002,8,"98_1_2002-08-07"
"98","narrows upper",1,2002-08-07,"cw",0.009,5,2,"g",2002,8,"98_1_2002-08-07"
"98","narrows upper",1,2002-08-07,"cw",0.012,9,1,"g",2002,8,"98_1_2002-08-07"
"98","narrows upper",1,2002-08-07,"cw",0.015,7,1,"g",2002,8,"98_1_2002-08-07"
"98","narrows upper",1,2002-08-07,"cw",0.019,17,1,"g",2002,8,"98_1_2002-08-07"
"98","narrows upper",1,2002-08-07,"cw",0.02,15,1,"g",2002,8,"98_1_2002-08-07"
"98","narrows upper",1,2002-08-23,"cw",0.005,1,1,"g",2002,8,"98_1_2002-08-23"
"98","narrows upper",1,2002-08-23,"cw",0.005,3,1,"g",2002,8,"98_1_2002-08-23"
"98","narrows upper",1,2002-08-23,"cw",0.006,5,1,"c",2002,8,"98_1_2002-08-23"
"98","narrows upper",1,2002-08-23,"cw",0.008,5,1,"g",2002,8,"98_1_2002-08-23"
"98","narrows upper",1,2002-08-23,"cw",0.01,9,1,"g",2002,8,"98_1_2002-08-23"
"98","narrows upper",1,2002-08-23,"cw",0.011,11,1,"g",2002,8,"98_1_2002-08-23"
"98","narrows upper",1,2002-08-23,"cw",0.012,7,2,"g",2002,8,"98_1_2002-08-23"
"98","narrows upper",1,2002-08-23,"cw",0.014,7,1,"g",2002,8,"98_1_2002-08-23"
"98","narrows upper",1,2002-08-23,"cw",0.017,15,1,"g",2002,8,"98_1_2002-08-23"
"98","narrows upper",1,2002-08-23,"cw",0.068,18,1,"g",2002,8,"98_1_2002-08-23"
"98","narrows upper",1,2002-09-06,"cw",0.007,1,1,"g",2002,9,"98_1_2002-09-06"
"98","narrows upper",1,2002-09-06,"cw",0.007,3,1,"g",2002,9,"98_1_2002-09-06"
