"sampID","midas","lake","station","date","time","agency","project","db","secchi","rep","seccbot","scope","surveyors","qa_cert","windvel","winddir","cloudcvr","lat","long","gloeo","comments","dups"
"9961_2_2021-06-04_ei",9961,"annabessacook",2,2021-06-04,NA,"ei",3,"cwd21",5.75,1,"n",4,"becker, michael,,NA,NA","be-0780",5,7,"0","0","0",NA,NA,"9961_2_2021-06-04_5.75_be-0780_1"
"9961_1_2021-06-04_ei",9961,"annabessacook",1,2021-06-04,NA,"ei",3,"cwd21",5.55,1,"n",4,"becker, michael,,NA,NA","be-0780",2,7,"0","0","0",NA,NA,"9961_1_2021-06-04_5.55_be-0780_1"
"5312_2_2021-06-06_ei",5312,"maranacook",2,2021-06-06,NA,"ei",3,"cwd21",5,1,"n",4,"dodge, edward,,NA,NA","do-0532",3,6,"0","0","0",NA,NA,"5312_2_2021-06-06_5_do-0532_1"
"5312_2_2021-06-06_ei",5312,"maranacook",2,2021-06-06,NA,"ei",3,"cwd21",5,1,"n",4,"dodge, edward,,NA,NA","do0532",2,8,"0","0","0",NA,NA,"5312_2_2021-06-06_5_do0532_1"
"5312_1_2021-06-08_cw",5312,"maranacook",1,2021-06-08,NA,"cw",3,"cwd21",6.94,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",3,6,"1","441915","695801.3",NA,NA,"5312_1_2021-06-08_6.94_bu-0773_1"
"5312_1_2021-06-08_cw",5312,"maranacook",1,2021-06-08,NA,"cw",3,"cwd21",6.79,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",3,6,"1","441915","695801.3",NA,NA,"5312_1_2021-06-08_6.79_de-0023_1"
"5312_2_2021-06-08_cw",5312,"maranacook",2,2021-06-08,NA,"cw",3,"cwd21",5.26,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",3,6,"1","0","0",NA,NA,"5312_2_2021-06-08_5.26_de-0023_1"
"5312_2_2021-06-08_cw",5312,"maranacook",2,2021-06-08,NA,"cw",3,"cwd21",5.31,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",3,6,"1","0","0",NA,NA,"5312_2_2021-06-08_5.31_bu-0773_1"
"103_1_2021-06-09_cw",103,"narrows lower",1,2021-06-09,NA,"cw",3,"cwd21",6.16,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",1,6,"0","441719.2","695706.9",NA,NA,"103_1_2021-06-09_6.16_bu-0773_1"
"103_1_2021-06-09_cw",103,"narrows lower",1,2021-06-09,NA,"cw",3,"cwd21",6.17,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",1,6,"0","441719.2","695706.9",NA,NA,"103_1_2021-06-09_6.17_de-0023_1"
"3830_1_2021-06-10_cw",3830,"dexter",1,2021-06-10,NA,"cw",3,"cwd21",6.1,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",1,1,"0","441858","700154.1",NA,NA,"3830_1_2021-06-10_6.1_de-0023_1"
"3832_1_2021-06-10_cw",3832,"wilson",1,2021-06-10,NA,"cw",3,"cwd21",6.58,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",6,1,"0","441701.9","700247.2",NA,NA,"3832_1_2021-06-10_6.58_bu-0773_1"
"3830_1_2021-06-10_cw",3830,"dexter",1,2021-06-10,NA,"cw",3,"cwd21",6.3,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",1,1,"0","441858","700154.1",NA,NA,"3830_1_2021-06-10_6.3_bu-0773_1"
"3832_1_2021-06-10_cw",3832,"wilson",1,2021-06-10,NA,"cw",3,"cwd21",6.64,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",6,1,"0","441701.9","700247.2",NA,NA,"3832_1_2021-06-10_6.64_de-0023_1"
"5310_1_2021-06-11_cw",5310,"carlton",1,2021-06-11,NA,"cw",3,"cwd21",5.95,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",8,6,"2","442051.1","695427.7",NA,NA,"5310_1_2021-06-11_5.95_bu-0773_1"
"5310_1_2021-06-11_cw",5310,"carlton",1,2021-06-11,NA,"cw",3,"cwd21",5.84,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",8,6,"2","442051.1","695427.7",NA,NA,"5310_1_2021-06-11_5.84_de-0023_1"
"9961_1_2021-06-12_ei",9961,"annabessacook",1,2021-06-12,NA,"ei",3,"cwd21",6.66,1,"n",4,"becker, michael,,NA,NA","be-0780",0,0,"0","0","0",NA,NA,"9961_1_2021-06-12_6.66_be-0780_1"
"5312_1_2021-06-13_ei",5312,"maranacook",1,2021-06-13,NA,"ei",3,"cwd21",7.7,1,"n",4,"gerstein, shelly,mettey, gale,NA,NA","me-2647",4,6,"1","0","0",NA,NA,"5312_1_2021-06-13_7.7_me-2647_1"
"5312_1_2021-06-13_ei",5312,"maranacook",1,2021-06-13,NA,"ei",3,"cwd21",7.5,1,"n",4,"gerstein, shelly,mettey, gale,NA,NA","ge-2646",4,6,"1","0","0",NA,NA,"5312_1_2021-06-13_7.5_ge-2646_1"
"9961_2_2021-06-15_ei",9961,"annabessacook",2,2021-06-15,NA,"ei",3,"cwd21",5.96,1,"n",4,"becker, michael,,NA,NA","be-0780",3,5,"2","0","0",NA,NA,"9961_2_2021-06-15_5.96_be-0780_1"
"3814_1_2021-06-16_cw",3814,"cochnewagon",1,2021-06-16,NA,"cw",3,"cwd21",5.88,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",12,8,"0","441355.5","700243.3",NA,NA,"3814_1_2021-06-16_5.88_de-0023_1"
"3814_1_2021-06-16_cw",3814,"cochnewagon",1,2021-06-16,NA,"cw",3,"cwd21",6.06,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",12,8,"0","441355.5","700243.3",NA,NA,"3814_1_2021-06-16_6.06_bu-0773_1"
"5254_1_2021-06-17_cw",5254,"pleasant",1,2021-06-17,NA,"cw",3,"cwd21",6.23,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",9,1,"0","440905.7","695243.6",NA,NA,"5254_1_2021-06-17_6.23_de-0023_1"
"5254_1_2021-06-17_cw",5254,"pleasant",1,2021-06-17,NA,"cw",3,"cwd21",6.32,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",9,1,"0","440905.7","695243.6",NA,NA,"5254_1_2021-06-17_6.32_bu-0773_1"
"5254_3_2021-06-17_cw",5254,"pleasant",3,2021-06-17,NA,"cw",3,"cwd21",3.41,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",2,2,"1","440807.7","695316.7",NA,NA,"5254_3_2021-06-17_3.41_de-0023_1"
"5242_1_2021-06-18_cw",5242,"buker",1,2021-06-18,NA,"cw",3,"cwd21",5.36,1,"n",4,"burton, ryan,dennis. wendy,NA,NA","bu-0773",8,5,"0","441000.6","695842.4",NA,NA,"5242_1_2021-06-18_5.36_bu-0773_1"
"5244_1_2021-06-18_cw",5244,"jimmy",1,2021-06-18,NA,"cw",3,"cwd21",4.9,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",2,4,"0","440907.7","695939.4",NA,NA,"5244_1_2021-06-18_4.9_bu-0773_1"
"5240_1_2021-06-18_cw",5240,"woodbury",1,2021-06-18,NA,"cw",3,"cwd21",5.92,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",9,5,"0","441137.9","695703.9",NA,NA,"5240_1_2021-06-18_5.92_de-0023_1"
"5242_1_2021-06-18_cw",5242,"buker",1,2021-06-18,NA,"cw",3,"cwd21",5.26,1,"n",4,"burton, ryan,dennis. wendy,NA,NA","de-0023",8,5,"0","441000.6","695842.4",NA,NA,"5242_1_2021-06-18_5.26_de-0023_1"
"5312_2_2021-06-18_ei",5312,"maranacook",2,2021-06-18,NA,"ei",3,"cwd21",5.9,1,"n",4,"dodge, edward,,NA,NA","do-0532",1,3,"0","0","0",NA,NA,"5312_2_2021-06-18_5.9_do-0532_1"
"5244_1_2021-06-18_cw",5244,"jimmy",1,2021-06-18,NA,"cw",3,"cwd21",4.86,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",2,4,"0","440907.7","695939.4",NA,NA,"5244_1_2021-06-18_4.86_de-0023_1"
"5240_1_2021-06-18_cw",5240,"woodbury",1,2021-06-18,NA,"cw",3,"cwd21",6.08,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",9,5,"0","441137.9","695703.9",NA,NA,"5240_1_2021-06-18_6.08_bu-0773_1"
"3830_1_2021-06-21_cw",3830,"dexter",1,2021-06-21,NA,"cw",3,"cwd21",6.73,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",11,6,"0","441858.5","700153.5",NA,NA,"3830_1_2021-06-21_6.73_de-0023_1"
"3832_1_2021-06-21_cw",3832,"wilson",1,2021-06-21,NA,"cw",3,"cwd21",6.3,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",16,5,"0","441702.5","700246",NA,NA,"3832_1_2021-06-21_6.3_de-0023_1"
